Movie,Clip Name,ID,Sentiment,Model Predicted Sentiment
"Terms of Endearment
","Terms of Endearment (9/9) Movie CLIP - Emma's Goodbyes (1983) HD
",PuvONUFArdI,4,4
Titanic,"Titanic Ending Scene 60Fps
",Sj9MEwjkxE0,4,4
American Beauty,"American Beauty' - Thomas Newman (from the 'plastic bag scene')
",gHxi-HSgNPc,4,3
The Boy in the Striped Pyjamas,The Boy in the Striped Pyjamas (2008) 4K HDR 60fps,Mu8uIOjLKwg,4,4
The Pianist,The Pianist [2002] Recycle Train Scene (HD) | Piyanist Geri Dönüşüm Tren Sahnesi Altyazılı,tmsRhU8L6iE,4,4
Me and Earl and the Dying Girl,Me And Earl And The Dying Girl (2015) Rachel in the Hospital Scene | 4K HD,1Ja9uSa_hT8,4,4
Breaking Bad,Breaking Bad - Todd Shoots Andrea (S5E15) | Rotten Tomatoes TV,Q8jdaoh9coQ,4,4
The Punisher,Marvel's Punisher Season 2 Karen visit's Frank in hospital ''Now I'm the monster''[1080p],xYVn0EBxl8I,4,4
Spider Man: No Way Home,Spider Man No Way Home Aunt May's Death 4K 60fps,yaVK5GSuih8,4,4
Jojo Rabbit,Jojo Rabbit (2019) - Prisoner execution scene,XOiLRsIH4PA,4,1
A Silent Voice,"A Silent Voice | Saddest Scene (ENGLISH DUB)
",gLZUDvUXW4M,4,4
Up,Ellie's death,Qmdfvf7aB5E,4,4
Marley and Me,Marley gets put down,EOO8TwyVFYI,4,4
BrokeBack Moutain,Shirt scene,PgnMmOmnYLk,4,4
A dog's tale,Waiting Scene,k8qM14qF_Kc,4,4
Interstellar,Message,s_M1t0HE-Kk,4,4
A dog's purpose,Comes home,BhHv3Yxcuro,4,4
Gwen Stacy Death,Other Scene,7L45m3j3T8U,4,4
